team_home,team_away,ordresp,xGhome,xGaway,goalDiffxG,ordextxG,ordextxG3
3,16,5.0,2.1,2.2,-0.10000000000000009,3.0,2
11,4,1.0,1.6,1.6,0.0,3.0,2
10,14,5.0,1.7,1.1,0.5999999999999999,2.0,1
7,1,1.0,1.3,0.2,1.1,2.0,1
15,6,2.0,1.3,0.5,0.8,2.0,1
2,9,2.0,4.0,1.7,2.3,1.0,1
8,5,2.0,2.0,1.3,0.7,2.0,1
13,17,4.0,0.6,1.0,-0.4,3.0,2
18,12,1.0,1.9,1.2,0.7,2.0,1
4,13,4.0,0.7,0.9,-0.20000000000000007,3.0,2
14,18,1.0,2.1,0.7,1.4000000000000001,2.0,1
12,3,5.0,1.8,2.5,-0.7,4.0,3
17,2,3.0,0.2,0.9,-0.7,4.0,3
5,7,1.0,2.5,1.8,0.7,2.0,1
6,8,1.0,1.8,1.0,0.8,2.0,1
1,15,4.0,0.9,2.0,-1.1,4.0,3
9,10,1.0,1.2,1.2,0.0,3.0,2
16,11,1.0,1.6,2.5,-0.8999999999999999,4.0,3
17,4,3.0,1.4,2.2,-0.8000000000000003,4.0,3
13,14,1.0,2.5,1.0,1.5,1.0,1
2,16,4.0,2.6,0.5,2.1,1.0,1
3,6,1.0,1.8,2.1,-0.30000000000000004,3.0,2
10,1,3.0,1.7,0.7,1.0,2.0,1
7,12,2.0,3.5,1.2,2.3,1.0,1
15,5,3.0,1.3,1.5,-0.19999999999999996,3.0,2
18,8,5.0,0.9,2.8,-1.9,5.0,3
11,9,1.0,1.5,1.7,-0.19999999999999996,3.0,2
12,15,3.0,0.8,2.5,-1.7,5.0,3
1,13,1.0,2.2,0.4,1.8000000000000003,1.0,1
4,2,1.0,3.5,0.5,3.0,1.0,1
14,11,5.0,1.7,3.4,-1.7,5.0,3
6,10,5.0,1.2,1.8,-0.6000000000000001,4.0,3
8,7,2.0,1.9,1.2,0.7,2.0,1
9,3,5.0,0.3,1.5,-1.2,4.0,3
16,17,1.0,2.0,0.9,1.1,2.0,1
5,18,1.0,2.2,0.3,1.9000000000000001,1.0,1
13,7,1.0,1.8,0.6,1.2000000000000002,2.0,1
17,14,3.0,1.2,1.5,-0.30000000000000004,3.0,2
15,4,1.0,1.0,1.0,0.0,3.0,2
3,5,1.0,3.3,0.2,3.0999999999999996,1.0,1
11,8,1.0,3.3,0.4,2.9,1.0,1
10,12,2.0,1.5,1.6,-0.10000000000000009,3.0,2
2,6,1.0,2.3,0.9,1.4,2.0,1
16,9,3.0,0.8,1.0,-0.19999999999999996,3.0,2
18,1,3.0,0.9,0.3,0.6000000000000001,2.0,1
14,2,5.0,1.3,1.9,-0.5999999999999999,4.0,3
6,11,3.0,1.7,0.6,1.1,2.0,1
4,16,1.0,1.4,0.4,0.9999999999999999,2.0,1
8,15,2.0,2.5,1.1,1.4,2.0,1
12,13,3.0,1.3,1.1,0.19999999999999996,3.0,2
7,18,5.0,1.4,0.6,0.7999999999999999,2.0,1
5,10,2.0,1.3,2.4,-1.0999999999999999,4.0,3
1,3,5.0,0.9,1.8,-0.9,4.0,3
9,17,2.0,1.5,1.9,-0.3999999999999999,3.0,2
13,5,3.0,0.8,0.8,0.0,3.0,2
17,6,2.0,0.9,0.9,0.0,3.0,2
10,18,3.0,0.5,1.1,-0.6000000000000001,4.0,3
3,4,1.0,4.5,0.4,4.1,1.0,1
11,12,1.0,2.7,0.8,1.9000000000000001,1.0,1
15,7,1.0,1.9,0.2,1.7,1.0,1
2,1,3.0,1.0,0.4,0.6,2.0,1
9,14,4.0,1.4,2.7,-1.3000000000000003,4.0,3
16,8,3.0,1.2,0.9,0.29999999999999993,3.0,2
14,3,2.0,2.8,1.4,1.4,2.0,1
12,2,1.0,1.4,0.8,0.5999999999999999,2.0,1
4,9,2.0,3.4,0.7,2.7,1.0,1
18,15,4.0,1.7,1.0,0.7,2.0,1
5,11,3.0,2.2,1.8,0.40000000000000013,3.0,2
6,13,1.0,2.6,0.6,2.0,1.0,1
1,17,5.0,0.6,1.9,-1.2999999999999998,4.0,3
8,10,4.0,0.9,2.1,-1.2000000000000002,4.0,3
7,16,4.0,0.4,1.5,-1.1,4.0,3
17,12,1.0,1.4,0.5,0.8999999999999999,2.0,1
4,6,2.0,1.1,1.1,0.0,3.0,2
16,14,3.0,1.0,0.9,0.09999999999999998,3.0,2
2,5,1.0,2.8,0.7,2.0999999999999996,1.0,1
3,8,1.0,4.7,0.0,4.7,1.0,1
11,18,1.0,1.3,0.3,1.0,2.0,1
10,7,3.0,1.4,0.3,1.0999999999999999,2.0,1
9,1,5.0,1.0,2.6,-1.6,5.0,3
13,15,4.0,0.7,0.2,0.49999999999999994,3.0,2
7,3,5.0,0.5,2.1,-1.6,5.0,3
12,16,4.0,1.4,0.8,0.5999999999999999,2.0,1
14,4,3.0,1.1,1.7,-0.5999999999999999,4.0,3
15,10,2.0,0.4,1.0,-0.6,4.0,3
6,9,2.0,1.9,0.7,1.2,2.0,1
1,11,5.0,0.5,1.8,-1.3,4.0,3
8,13,3.0,2.1,0.5,1.6,1.0,1
18,2,4.0,0.3,2.1,-1.8,5.0,3
5,17,3.0,2.2,1.7,0.5000000000000002,2.0,1
4,1,3.0,1.2,1.3,-0.10000000000000009,3.0,2
14,12,4.0,2.1,1.2,0.9000000000000001,2.0,1
2,15,5.0,0.5,2.5,-2.0,5.0,3
17,8,2.0,0.7,0.4,0.29999999999999993,3.0,2
3,10,3.0,1.8,0.2,1.6,1.0,1
11,7,3.0,0.8,1.0,-0.19999999999999996,3.0,2
9,5,4.0,1.8,1.6,0.19999999999999996,3.0,2
16,6,2.0,2.2,0.3,1.9000000000000001,1.0,1
13,18,3.0,0.8,1.4,-0.5999999999999999,4.0,3
6,14,2.0,1.6,0.5,1.1,2.0,1
5,4,4.0,2.4,0.3,2.1,1.0,1
1,16,4.0,0.4,1.4,-0.9999999999999999,4.0,3
15,11,2.0,1.0,0.6,0.4,3.0,2
12,9,3.0,0.3,1.1,-0.8,4.0,3
7,17,2.0,1.8,0.4,1.4,2.0,1
8,2,4.0,1.5,2.8,-1.2999999999999998,4.0,3
18,3,4.0,0.2,3.2,-3.0,5.0,3
10,13,5.0,0.5,1.4,-0.8999999999999999,4.0,3
17,18,1.0,1.1,1.4,-0.2999999999999998,3.0,2
16,5,2.0,0.7,0.5,0.19999999999999996,3.0,2
3,15,2.0,1.4,0.6,0.7999999999999999,2.0,1
4,8,1.0,2.8,0.5,2.3,1.0,1
11,13,1.0,2.2,1.3,0.9000000000000001,2.0,1
6,12,1.0,2.3,1.3,0.9999999999999998,2.0,1
2,10,5.0,1.7,1.2,0.5,2.0,1
9,7,2.0,1.0,1.3,-0.30000000000000004,3.0,2
14,1,1.0,2.1,0.8,1.3,2.0,1
8,9,3.0,1.4,1.4,0.0,3.0,2
1,6,1.0,2.8,0.4,2.4,1.0,1
5,14,4.0,1.1,1.5,-0.3999999999999999,3.0,2
10,11,3.0,1.1,2.0,-0.8999999999999999,4.0,3
7,2,3.0,0.8,0.9,-0.09999999999999998,3.0,2
15,17,4.0,0.8,1.8,-1.0,4.0,3
13,3,5.0,1.3,1.4,-0.09999999999999987,3.0,2
18,16,3.0,0.8,2.0,-1.2,4.0,3
12,4,4.0,2.0,2.3,-0.2999999999999998,3.0,2
9,18,4.0,1.1,0.3,0.8,2.0,1
2,13,1.0,1.8,0.1,1.7,1.0,1
17,10,3.0,1.6,0.9,0.7000000000000001,2.0,1
3,11,1.0,3.2,1.0,2.2,1.0,1
4,7,3.0,0.8,0.8,0.0,3.0,2
14,8,3.0,1.1,1.2,-0.09999999999999987,3.0,2
12,1,3.0,1.1,1.0,0.10000000000000009,3.0,2
16,15,5.0,0.6,2.6,-2.0,5.0,3
6,5,1.0,1.6,1.5,0.10000000000000009,3.0,2
15,9,3.0,0.7,1.1,-0.40000000000000013,3.0,2
3,17,1.0,1.9,0.9,0.9999999999999999,2.0,1
8,12,5.0,0.9,1.5,-0.6,4.0,3
11,2,5.0,0.8,2.3,-1.4999999999999998,4.0,3
7,14,2.0,0.6,0.7,-0.09999999999999998,3.0,2
5,1,1.0,1.0,1.1,-0.10000000000000009,3.0,2
13,16,2.0,2.8,1.1,1.6999999999999997,1.0,1
18,6,5.0,0.9,1.7,-0.7999999999999999,4.0,3
10,4,3.0,0.9,1.6,-0.7000000000000001,4.0,3
4,18,3.0,2.6,1.0,1.6,1.0,1
12,5,2.0,1.6,2.0,-0.3999999999999999,3.0,2
14,15,1.0,2.3,0.6,1.6999999999999997,1.0,1
6,7,3.0,1.5,0.1,1.4,2.0,1
17,11,3.0,2.3,0.9,1.4,2.0,1
1,8,2.0,1.2,0.4,0.7999999999999999,2.0,1
9,13,2.0,2.4,0.6,1.7999999999999998,1.0,1
16,10,2.0,0.3,1.0,-0.7,4.0,3
2,3,5.0,0.7,1.2,-0.5,4.0,3
14,10,4.0,2.5,1.5,1.0,2.0,1
9,2,3.0,2.4,2.2,0.19999999999999973,3.0,2
4,11,2.0,3.4,1.2,2.2,1.0,1
6,15,3.0,1.7,1.8,-0.10000000000000009,3.0,2
12,18,2.0,2.5,1.2,1.3,2.0,1
17,13,3.0,1.6,1.1,0.5,2.0,1
1,7,3.0,2.6,1.7,0.9000000000000001,2.0,1
16,3,4.0,1.2,1.6,-0.40000000000000013,3.0,2
5,8,1.0,2.6,0.7,1.9000000000000001,1.0,1
3,12,2.0,3.5,0.3,3.2,1.0,1
10,9,1.0,2.3,2.1,0.19999999999999973,3.0,2
15,1,2.0,2.0,1.5,0.5,2.0,1
2,17,2.0,2.4,0.3,2.1,1.0,1
11,16,2.0,1.5,0.6,0.9,2.0,1
8,6,4.0,1.5,0.9,0.6,2.0,1
13,4,5.0,0.7,2.0,-1.3,4.0,3
7,5,2.0,1.7,0.2,1.5,1.0,1
18,14,3.0,2.4,0.7,1.7,1.0,1
1,10,3.0,1.6,0.7,0.9000000000000001,2.0,1
9,11,1.0,1.1,1.0,0.10000000000000009,3.0,2
12,7,4.0,1.6,3.5,-1.9,5.0,3
5,15,3.0,1.3,1.2,0.10000000000000009,3.0,2
4,17,4.0,2.0,0.9,1.1,2.0,1
14,13,3.0,1.4,1.3,0.09999999999999987,3.0,2
6,3,4.0,0.5,0.3,0.2,3.0,2
8,18,3.0,1.0,0.1,0.9,2.0,1
16,2,5.0,0.4,1.9,-1.5,5.0,3
18,5,1.0,1.6,1.5,0.10000000000000009,3.0,2
10,6,4.0,1.2,0.4,0.7999999999999999,2.0,1
15,12,3.0,2.3,1.8,0.4999999999999998,3.0,2
3,9,1.0,3.9,1.1,2.8,1.0,1
11,14,1.0,1.3,0.4,0.9,2.0,1
17,16,2.0,0.7,1.1,-0.40000000000000013,3.0,2
2,4,3.0,2.0,1.1,0.8999999999999999,2.0,1
13,1,5.0,0.8,2.2,-1.4000000000000001,4.0,3
7,8,3.0,1.1,0.5,0.6000000000000001,2.0,1
12,10,5.0,0.8,2.2,-1.4000000000000001,4.0,3
8,11,1.0,1.4,0.7,0.7,2.0,1
5,3,2.0,2.1,1.6,0.5,2.0,1
4,15,3.0,2.4,1.1,1.2999999999999998,2.0,1
14,17,1.0,1.2,0.5,0.7,2.0,1
7,13,2.0,1.8,1.0,0.8,2.0,1
1,18,2.0,2.4,0.2,2.1999999999999997,1.0,1
6,2,4.0,0.8,1.2,-0.3999999999999999,3.0,2
9,16,3.0,1.7,1.7,0.0,3.0,2
17,9,1.0,2.8,1.1,1.6999999999999997,1.0,1
15,8,1.0,2.1,0.8,1.3,2.0,1
10,5,5.0,1.6,2.0,-0.3999999999999999,3.0,2
3,1,1.0,2.0,0.3,1.7,1.0,1
11,6,3.0,1.2,0.4,0.7999999999999999,2.0,1
2,14,3.0,1.4,2.1,-0.7000000000000002,4.0,3
13,12,2.0,1.4,0.5,0.8999999999999999,2.0,1
18,7,1.0,2.0,0.7,1.3,2.0,1
16,4,2.0,1.2,1.5,-0.30000000000000004,3.0,2
18,10,3.0,2.7,1.5,1.2000000000000002,2.0,1
12,11,5.0,1.0,3.0,-2.0,5.0,3
4,3,5.0,2.1,1.1,1.0,2.0,1
14,9,2.0,1.8,0.9,0.9,2.0,1
7,15,4.0,1.1,1.0,0.10000000000000009,3.0,2
5,13,3.0,0.8,1.0,-0.19999999999999996,3.0,2
1,2,3.0,1.7,0.8,0.8999999999999999,2.0,1
8,16,1.0,1.8,1.4,0.40000000000000013,3.0,2
6,17,2.0,2.0,1.7,0.30000000000000004,3.0,2
16,7,1.0,1.4,0.4,0.9999999999999999,2.0,1
17,1,5.0,0.7,2.9,-2.2,5.0,3
3,14,1.0,2.2,0.3,1.9000000000000001,1.0,1
11,5,5.0,1.1,1.7,-0.5999999999999999,4.0,3
10,8,2.0,1.0,0.9,0.09999999999999998,3.0,2
15,18,3.0,1.6,1.1,0.5,2.0,1
2,12,2.0,1.7,0.9,0.7999999999999999,2.0,1
9,4,1.0,2.2,1.0,1.2000000000000002,2.0,1
13,6,3.0,0.4,0.4,0.0,3.0,2
18,11,3.0,1.6,2.1,-0.5,4.0,3
7,10,3.0,2.6,2.1,0.5,2.0,1
12,17,3.0,2.0,1.3,0.7,2.0,1
8,3,4.0,0.2,2.3,-2.0999999999999996,5.0,3
14,16,2.0,1.1,0.8,0.30000000000000004,3.0,2
5,2,5.0,2.3,1.7,0.5999999999999999,2.0,1
6,4,3.0,2.3,2.4,-0.10000000000000009,3.0,2
1,9,4.0,1.0,1.2,-0.19999999999999996,3.0,2
15,13,1.0,1.8,0.6,1.2000000000000002,2.0,1
17,5,5.0,1.5,1.4,0.10000000000000009,3.0,2
2,18,3.0,2.3,1.0,1.2999999999999998,2.0,1
4,14,4.0,2.2,2.3,-0.09999999999999964,3.0,2
3,7,1.0,1.6,0.6,1.0,2.0,1
11,1,3.0,1.8,0.9,0.9,2.0,1
10,15,5.0,0.0,1.7,-1.7,5.0,3
13,8,2.0,1.2,2.2,-1.0000000000000002,4.0,3
9,6,4.0,0.7,1.0,-0.30000000000000004,3.0,2
16,12,2.0,2.3,2.1,0.19999999999999973,3.0,2
12,14,4.0,1.2,2.7,-1.5000000000000002,5.0,3
10,3,3.0,1.4,1.3,0.09999999999999987,3.0,2
7,11,2.0,1.2,0.8,0.3999999999999999,3.0,2
8,17,3.0,1.0,0.5,0.5,2.0,1
5,9,2.0,2.5,1.7,0.8,2.0,1
6,16,2.0,1.2,1.0,0.19999999999999996,3.0,2
1,4,4.0,1.5,2.0,-0.5,4.0,3
18,13,3.0,0.9,1.1,-0.20000000000000007,3.0,2
15,2,3.0,0.8,1.0,-0.19999999999999996,3.0,2
2,8,1.0,2.4,0.6,1.7999999999999998,1.0,1
9,12,3.0,1.7,1.0,0.7,2.0,1
4,5,1.0,4.2,1.4,2.8000000000000003,1.0,1
14,6,2.0,1.6,0.8,0.8,2.0,1
11,15,1.0,1.5,1.3,0.19999999999999996,3.0,2
17,7,3.0,1.4,0.9,0.4999999999999999,3.0,2
13,10,2.0,1.1,0.6,0.5000000000000001,2.0,1
16,1,3.0,0.7,0.4,0.29999999999999993,3.0,2
3,18,3.0,2.4,0.8,1.5999999999999999,1.0,1
10,2,2.0,0.3,0.5,-0.2,3.0,2
7,9,3.0,2.9,1.1,1.7999999999999998,1.0,1
8,4,5.0,0.3,3.2,-2.9000000000000004,5.0,3
13,11,4.0,1.9,1.4,0.5,2.0,1
12,6,4.0,2.1,1.2,0.9000000000000001,2.0,1
15,3,5.0,1.2,2.3,-1.0999999999999999,4.0,3
1,14,2.0,1.2,1.1,0.09999999999999987,3.0,2
18,17,3.0,1.0,0.9,0.09999999999999998,3.0,2
5,16,1.0,1.1,0.6,0.5000000000000001,2.0,1
4,12,1.0,3.5,0.7,2.8,1.0,1
2,7,1.0,1.9,0.5,1.4,2.0,1
11,10,3.0,0.5,0.6,-0.09999999999999998,3.0,2
14,5,3.0,0.7,1.5,-0.8,4.0,3
3,13,1.0,3.8,0.8,3.0,1.0,1
17,15,4.0,0.9,0.9,0.0,3.0,2
6,1,4.0,1.5,0.7,0.8,2.0,1
16,18,2.0,1.0,0.5,0.5,2.0,1
9,8,1.0,2.0,0.7,1.3,2.0,1
15,16,1.0,2.0,1.3,0.7,2.0,1
10,17,3.0,0.3,0.6,-0.3,3.0,2
11,3,1.0,0.6,1.9,-1.2999999999999998,4.0,3
7,4,3.0,0.5,1.6,-1.1,4.0,3
5,6,4.0,0.9,0.7,0.20000000000000007,3.0,2
1,12,1.0,2.3,0.7,1.5999999999999999,1.0,1
13,2,1.0,1.2,0.8,0.3999999999999999,3.0,2
18,9,3.0,1.1,0.9,0.20000000000000007,3.0,2
8,14,5.0,1.2,1.8,-0.6000000000000001,4.0,3
9,15,2.0,0.9,0.5,0.4,3.0,2
14,7,1.0,2.7,0.5,2.2,1.0,1
4,10,1.0,1.8,0.4,1.4,2.0,1
17,3,5.0,0.3,1.5,-1.2,4.0,3
6,18,4.0,1.0,1.0,0.0,3.0,2
2,11,3.0,2.2,0.9,1.3000000000000003,2.0,1
1,5,3.0,2.7,1.3,1.4000000000000001,2.0,1
16,13,2.0,1.9,0.9,0.9999999999999999,2.0,1
12,8,5.0,2.1,1.5,0.6000000000000001,2.0,1
5,12,2.0,1.5,1.1,0.3999999999999999,3.0,2
7,6,3.0,0.4,1.3,-0.9,4.0,3
15,14,1.0,1.8,1.0,0.8,2.0,1
11,17,2.0,1.0,0.9,0.09999999999999998,3.0,2
10,16,1.0,0.5,1.0,-0.5,4.0,3
8,1,2.0,0.5,0.8,-0.30000000000000004,3.0,2
13,9,4.0,0.7,0.7,0.0,3.0,2
18,4,5.0,0.4,1.0,-0.6,4.0,3
3,2,1.0,2.6,1.6,1.0,2.0,1
