odds_home,odds_draw,odds_away,oddsresp
1.14,8.6,40.0,40.0
2.34,4.2,2.94,2.34
4.5,4.1,1.84,1.84
2.12,3.3,4.3,2.12
2.34,3.55,3.35,2.34
1.2,7.6,24.0,1.2
2.3,4.0,3.1,2.3
2.66,3.8,2.74,2.74
1.66,4.2,6.0,1.66
1.33,5.6,13.0,13.0
1.76,4.1,5.1,1.76
14.5,6.2,1.29,1.29
4.1,4.2,1.91,4.2
2.02,3.65,4.2,2.02
2.0,3.9,4.0,2.0
3.25,3.4,2.48,2.48
2.76,3.45,2.84,2.76
3.1,3.8,2.38,3.1
4.2,4.1,1.91,4.1
3.75,3.75,2.12,3.75
1.46,4.9,8.6,8.6
2.02,3.75,4.1,2.02
2.12,3.6,3.9,3.6
2.16,3.65,3.7,2.16
1.95,3.8,4.3,3.8
2.36,3.45,3.4,3.4
1.27,6.4,16.0,1.27
3.75,3.65,2.14,3.65
2.44,3.4,3.3,2.44
2.2,3.8,3.45,2.2
2.34,3.95,3.05,3.05
1.98,3.55,4.5,4.5
2.12,3.5,4.0,2.12
8.0,5.0,1.47,1.47
2.56,3.45,3.05,2.56
1.78,3.95,5.2,1.78
2.24,3.3,3.9,2.24
2.72,3.7,2.72,3.7
3.15,3.5,2.48,3.15
1.36,5.6,10.5,1.36
1.51,4.8,7.4,1.51
1.85,3.95,4.7,1.85
1.74,4.0,5.5,1.74
1.85,3.85,4.8,3.85
2.28,3.35,3.7,3.35
2.28,3.8,3.25,3.25
2.42,3.65,3.1,3.65
1.55,4.6,7.0,1.55
4.7,3.55,1.95,4.7
2.14,3.7,3.7,3.7
2.44,3.2,3.5,3.5
1.83,3.85,5.0,1.83
8.8,4.7,1.47,1.47
3.15,3.75,2.36,3.15
3.1,3.6,2.46,3.6
2.44,3.5,3.2,2.44
2.34,3.3,3.6,3.3
1.36,5.6,10.5,1.36
1.59,4.6,6.2,1.59
1.58,3.95,8.4,1.58
1.48,4.7,8.4,4.7
4.9,3.95,1.82,1.82
1.69,3.9,6.2,3.9
6.2,4.4,1.62,6.2
5.2,4.2,1.73,5.2
1.46,4.9,8.6,1.46
4.1,3.45,2.12,2.12
3.25,3.8,2.3,3.8
1.78,3.75,5.6,1.78
2.48,3.5,3.15,3.15
2.96,3.15,2.84,2.84
2.64,3.2,3.15,3.15
1.86,3.9,4.7,1.86
1.91,3.7,4.7,1.91
3.2,3.45,2.46,3.45
1.69,4.2,5.7,1.69
1.12,8.8,40.0,1.12
1.75,3.95,5.5,1.75
2.32,3.2,3.8,3.2
2.36,3.45,3.4,3.4
3.55,3.4,2.32,2.32
10.0,4.8,1.43,1.43
2.62,3.45,3.0,3.0
2.3,3.75,3.25,3.75
1.67,3.9,6.6,1.67
1.78,3.9,5.3,1.78
3.0,3.45,2.6,2.6
2.26,3.4,3.7,3.4
3.65,3.65,2.18,2.18
2.04,3.65,4.1,3.65
1.41,5.1,10.0,5.1
1.51,4.6,7.8,7.8
2.1,3.65,3.9,3.9
2.12,3.35,4.2,2.12
1.15,7.8,40.0,7.8
1.77,4.0,5.2,4.0
2.88,3.5,2.68,2.68
2.48,3.35,3.25,2.48
2.32,3.4,3.55,3.4
2.76,3.4,2.86,2.76
3.55,3.75,2.18,2.18
2.12,3.5,4.0,4.0
2.16,3.65,3.7,2.16
2.18,3.65,3.65,3.65
2.76,3.45,2.82,2.76
4.4,3.6,2.0,2.0
9.6,4.8,1.44,1.44
2.06,3.5,4.2,4.2
1.98,3.65,4.4,1.98
2.54,3.55,3.05,2.54
1.23,6.8,22.0,1.23
1.37,5.2,12.0,1.37
1.67,4.2,5.9,1.67
2.0,3.6,4.4,2.0
1.54,4.5,7.4,7.4
2.12,3.55,3.95,2.12
1.8,3.8,5.3,1.8
2.24,3.45,3.7,3.45
2.58,3.3,3.15,2.58
2.68,3.65,2.8,2.8
3.15,3.55,2.46,3.55
4.4,3.85,1.93,3.85
1.86,3.75,4.9,4.9
12.5,5.4,1.35,1.35
2.16,3.6,3.75,3.6
5.3,3.95,1.77,1.77
2.38,3.55,3.25,3.25
1.47,4.8,8.4,1.47
2.0,3.7,4.2,3.7
1.24,6.6,21.0,1.24
1.35,5.5,12.0,5.5
1.58,4.1,7.8,4.1
3.1,3.45,2.52,3.45
2.96,3.45,2.64,2.64
2.58,3.5,3.0,2.58
1.56,4.5,7.0,4.5
1.12,9.0,40.0,1.12
2.06,3.5,4.2,4.2
2.98,3.75,2.48,2.48
3.7,3.7,2.14,3.7
2.26,3.6,3.5,2.26
2.82,3.35,2.84,2.82
2.6,3.3,3.1,3.1
3.7,3.55,2.2,3.55
1.55,4.6,7.0,4.6
3.4,3.6,2.3,3.4
2.34,3.5,3.4,2.34
2.02,3.55,4.3,3.55
2.66,3.55,2.88,3.55
1.86,3.65,5.1,1.86
2.4,3.5,3.3,2.4
2.08,3.5,4.1,2.08
4.2,3.9,1.95,1.95
1.62,4.1,6.8,6.8
4.9,4.1,1.79,4.1
1.66,4.4,5.7,1.66
2.96,3.35,2.7,3.35
3.75,3.55,2.18,3.75
2.04,3.65,4.1,3.65
1.82,3.85,5.1,3.85
11.5,5.0,1.39,1.39
1.98,3.7,4.3,1.98
1.04,13.0,40.0,1.04
2.0,3.6,4.4,2.0
2.08,3.5,4.1,2.08
1.61,4.3,6.6,1.61
2.06,3.7,4.0,2.06
2.42,3.35,3.4,3.4
5.9,4.4,1.64,1.64
2.98,3.55,2.58,2.98
2.98,3.6,2.56,3.6
2.18,3.4,3.95,3.4
3.65,3.75,2.14,3.65
2.44,3.45,3.25,3.25
2.46,3.55,3.15,3.55
1.4,5.4,9.4,9.4
1.55,4.4,7.4,4.4
8.4,4.8,1.47,1.47
2.74,3.4,2.88,3.4
3.2,3.6,2.4,2.4
2.64,3.65,2.82,2.64
2.64,3.25,3.1,3.1
1.42,4.8,10.5,4.8
1.08,10.0,40.0,1.08
3.55,3.85,2.14,3.55
2.24,3.7,3.45,2.24
2.36,4.0,3.0,4.0
3.15,3.35,2.54,2.54
2.84,3.25,2.88,3.25
3.2,3.4,2.52,2.52
2.64,3.55,2.88,2.64
5.7,4.5,1.64,5.7
1.67,4.4,5.5,4.4
1.49,4.8,7.8,1.49
2.26,3.5,3.6,2.26
2.18,3.55,3.75,2.18
2.62,3.65,2.88,2.88
2.48,3.45,3.2,3.45
2.28,3.65,3.4,2.28
1.75,3.8,5.8,1.75
3.15,3.55,2.46,2.46
1.16,8.0,40.0,1.16
2.36,3.7,3.2,3.7
2.46,3.8,2.98,3.8
1.96,3.7,4.4,1.96
1.67,4.1,6.0,1.67
4.6,4.1,1.83,4.6
2.04,3.45,4.4,3.45
2.72,3.65,2.74,2.74
3.8,4.1,2.0,2.0
1.5,4.8,7.6,1.5
4.1,3.55,2.08,2.08
1.62,4.3,6.4,4.3
3.45,3.8,2.2,3.8
2.86,3.35,2.78,2.86
1.82,3.9,5.0,1.82
1.9,3.85,4.5,1.9
2.16,3.6,3.75,3.75
1.38,5.4,10.5,1.38
2.3,3.85,3.2,3.2
2.16,3.35,4.1,2.16
1.87,3.7,5.0,3.7
1.42,5.2,9.2,1.42
8.2,4.9,1.47,8.2
3.0,3.45,2.6,3.45
2.66,3.65,2.82,3.65
3.05,3.25,2.7,3.25
2.58,3.5,3.0,3.5
30.0,7.2,1.2,1.2
1.46,4.9,8.6,1.46
2.9,3.8,2.52,2.52
4.2,3.8,1.98,3.8
2.0,3.7,4.2,4.2
1.77,3.9,5.4,1.77
2.88,3.6,2.62,2.62
1.56,4.5,7.0,4.5
1.55,4.6,7.0,7.0
1.06,12.0,40.0,1.06
1.87,3.9,4.6,3.9
2.74,3.3,2.98,2.98
1.79,3.85,5.3,1.79
2.72,3.3,3.0,3.0
1.92,3.75,4.5,1.92
4.0,3.55,2.1,2.1
19.5,6.0,1.27,6.0
3.4,3.65,2.28,3.4
2.74,3.45,2.86,3.45
1.76,4.0,5.3,1.76
2.14,3.45,4.0,2.14
6.4,4.4,1.6,1.6
2.24,3.45,3.7,3.45
2.68,3.65,2.8,3.65
1.36,5.5,11.0,1.36
2.04,3.7,4.0,3.7
1.39,5.4,9.8,1.39
1.79,3.8,5.4,1.79
2.16,3.75,3.6,2.16
1.8,4.0,5.0,4.0
2.28,3.4,3.65,2.28
2.26,3.5,3.6,3.5
1.1,9.6,40.0,9.6
3.25,3.55,2.38,3.25
3.05,3.4,2.62,3.4
11.5,5.4,1.36,1.36
2.64,3.55,2.88,2.88
3.0,3.35,2.66,2.66
6.8,4.4,1.58,1.58
3.5,3.6,2.26,3.5
2.02,3.7,4.1,3.7
1.75,4.1,5.2,1.75
1.31,6.0,13.0,1.31
1.39,5.2,10.5,1.39
1.79,3.9,5.2,3.9
1.73,4.1,5.4,4.1
1.14,8.4,40.0,1.14
2.86,3.5,2.7,2.7
1.98,3.55,4.5,4.5
2.34,3.6,3.3,2.34
2.04,3.6,4.2,2.04
1.78,3.95,5.2,1.78
2.14,3.6,3.8,3.6
8.0,5.0,1.47,8.0
13.0,5.8,1.32,5.8
1.96,3.75,4.3,4.3
2.32,3.45,3.5,2.32
3.4,3.7,2.26,3.4
1.9,3.75,4.7,3.75
4.3,3.8,1.95,1.95
3.25,3.45,2.44,3.25
1.37,5.1,12.5,1.37
1.39,5.1,11.0,1.39
23.0,7.0,1.22,1.22
2.24,3.45,3.7,3.7
2.04,3.95,3.8,3.95
3.45,3.5,2.32,3.5
2.48,3.5,3.15,2.48
2.06,3.5,4.2,4.2
1.83,3.8,5.1,1.83
2.88,3.25,2.86,3.25
2.94,3.5,2.64,2.94
1.83,4.1,4.6,1.83
2.04,3.65,4.1,2.04
2.3,3.4,3.6,2.3
1.92,3.7,4.6,4.6
4.1,3.95,1.95,1.95
1.26,6.4,18.0,1.26
